start	end	text
0	5000	ティーチャーティーチャー
5000	10860	やっていきましょう
10860	12700	さあさあやっていきましょうか
12700	13580	お便り会ですね
13580	14580	お便り会
14580	19520	前回ちょっとお話をした2ヶ月に1回程度
19520	22720	皆さんからティーチャーティーチャーのお便りフォームにいただいたお便りを
22720	25040	全部返していきましょうという会ですね
25040	25660	はい
25660	29460	今日の収録が1時間ちょっとありまして
29460	34440	そこで来ている十数個のお便りを頑張って返していきます
34440	36000	はい返していきましょう
36000	39380	これはティーチャーティーチャー村の皆さんに質問も募集していて
39380	41560	その内容も入っております
41560	46300	本当はね公開収録で話をする予定だったんやけど
46300	47700	あれだね
47700	48320	ちょっとね
48320	50580	引っ越してWi-Fiが環境が
50580	53040	一年のWi-Fiが緊張してまして
53040	54640	これさ発見やったね
54640	55480	何が?
55860	58160	Wi-Fiの緊張は発見やったね
58160	61620	Wi-Fiは今の収録も
61620	63160	オンラインでしてるんですけど
63160	64540	さっき話してる時
64540	67560	調子良かったのにやっぱ収録中になると
67560	69320	緊張してるんですよねWi-Fiが
69320	71060	なんで今若干
71060	72680	やっぱ多分あるよ
72680	75660	人種の気持ちとWi-Fiの
75660	76580	連動
76580	77840	あるよね
77840	81020	なんかありそう
81020	82340	なんなんやろうね
82340	85500	もう一個発見やったのがあるやったね
85500	85700	もう
85700	88140	返事が
88160	93000	1秒0.何秒遅れるだけで会話のテンポが作れんで
93000	95980	公開視力が止まっちゃったっていうことがあり
95980	96580	そうね
96580	98120	すいませんでした
98120	100500	公開視力を楽しみにして
100500	101380	来ていただいた方
101380	104760	来ていただいたのに割とテンパってしまって
104760	107440	スムーズに抜けてしまってすいませんでした
107440	111820	逆にスムーズにおらんくなってね
111820	113680	ちょっとすいません仕切り直しますって
113680	116760	もっと本当は集まってもらって
116760	118220	すいませんでしたって
118220	121620	もっとこれはこういう風な形でやり直しますって
121620	124040	言いたかったのにテンパって
124040	126440	はいではまたっていう感じで
126440	130840	スムーズに収録はダラダラしてたくせに
130840	132780	切り上げだけスムーズにしてしまったという
132780	134500	大変申し訳ありませんでした
134500	134720	すいませんでした
134720	137840	なので今からリベンジさせてください
137840	138620	リベンジします
138620	142200	ちょっと後悔ではないですが一生懸命答えていきます
142200	143700	全部回答できるように
143700	145840	じゃあ一つ目からいきます
145840	147360	毛太さんからですね
147360	148400	はいありがとうございます
148400	150600	お一個目一個の話です
150600	153060	いつの間にか兄弟喧嘩が勃発し
153060	153880	兄弟喧嘩
153880	157920	2歳の弟と5歳の姉が激しく叩き合いをしています
157920	159380	うーん激しい
159380	161540	喧嘩を目にしたおじである私は
161540	164100	まあ子供の喧嘩はよくあることだからと
164100	165900	いちいち仲裁する気が起きません
165900	167040	うんうんうん
167040	170060	お子さんをお持ちの方は皆さんどうされていますか
170060	172400	また学校における喧嘩と
172400	174360	お家で起こる兄弟喧嘩は
174360	177120	何か対応が違うものなのでしょうか
177120	179880	喧嘩についての関わり方を教えてください
179880	181900	確かにな
181900	186800	いちいち仲裁する気起きませんっていう気持ち
186800	187720	ちょっとわかるな
187720	189480	おじとして
189480	193240	なんか学校の先生やったら
193240	195400	それがよしこれを
195400	199300	じゃあこの子たちをどう指導するかというか
199300	203660	教育するかとか前向きに流せるかとかのスイッチが入りそう
203660	205520	わざわざやると思う
205520	209000	おじの場合は確かにやらんかもしれない
209000	211260	自分今おじやけんさ
211260	212680	おじな
212680	215120	今おじなうしてるからさ
215120	217100	兄の娘さん
217100	219000	息子さんおる中で
219000	220780	結構喧嘩するよ
220780	223680	結構喧嘩するんやけど
223680	224760	なんかね
224760	227320	空気悪くしたくないなみたいなのあるよ
227320	227660	ちょっと
227660	229920	なぜかっていうと
229920	232800	親戚が1年に2,3回しか
232800	234620	集まらない中で
234620	237100	ちょっと怒られるみたいなのをしたくないのは
237100	238160	若干あるね
238160	241120	仲裁する気が起きません
241120	243080	みたいなのはあるけど
243080	245300	どうする人しようってたら
245300	247380	俺は
247380	248660	そうやね
248660	251400	スタンスだけ
251400	252980	ちょっと
