start	end	text
3400	5420	ティーチャーティーチャー
11500	12840	はい、今日は特別編です
12840	13320	はい
15340	16880	今、唐津に来ております
18400	19680	なぜ唐津に来ているのか
19680	20320	はい
21160	23300	という話も後にしますけども
23300	25200	今日はティーチャーティーチャーが運営している
25200	28960	フリースクール根本の活動の進捗を報告をしたいと思って
28960	29560	はい
29560	32020	おります 以前から
32820	38520	メタバースのコンコン これをどう広げていこうかという話をしていました
38520	44440	なぜかというとたくさんニーズがあるからね 待ってもらって待機してもらっていたっていうのがあったので
44860	52460	今受け入れをストップしているんですけど どうやったら今学びが届いてない子どもたちに届けることができるのかっていうのを
52460	54960	ずっと 考え続けてきました
56780	60040	もちろんこうやってティーチャーティーチャーを配信して
60520	64940	今月学生で応援してくださっている方がどんどん増えていっているので
64940	68040	応援してくれる方々をもっともっと募っていくことで
68580	70500	本校のスタッフの仲間も増やしていって
71240	73680	全国から通えるフリースクール本校も
74100	78020	規模の拡大を今一生懸命進めているところです
78020	78500	頑張っています
79540	83240	だけどこれがまだまだ時間がかかるというところで
83240	86660	どうやったらもっと進めていけるのかというところで
88000	90000	今新しいモデルを考えています
90940	92920	以前不動産のデベロッパーと組んで
93280	95260	予算をもらうという話もしたんですけども
95700	96860	もう一個の方向性として
96860	100180	自治体と連携を進めております
101400	104240	今3つの自治体とフリースクールコンコンを
104840	107800	ちゃんと公教育として学びの選択肢として
108620	110720	取り入れてもらおうという話を進めております
111140	112260	決定したら報告します
114100	116340	アイランドシティにも拠点を構えているんですけども
117620	118160	今回は
119340	122240	今唐津城が見えていますけども
124680	129660	唐津でもフリーズクルコンコン新しい拠点を構えることになりまして
130620	134980	イノドロップスっていう一般社団法人がありまして
135980	140640	そことコラボとして運営が始まるっていうところであります
141000	143740	サンドラボカルツという居場所を運営していて
144180	146620	そこはもういろんな活動をします
147180	151140	その居場所自体はティーチャーティーチャーのコラボ以外も
151140	154420	いろんなプロジェクトが動いている居場所ですね
154420	157620	地域循環型のスモールビジネスを通して
157960	161720	子どもが実際に社会貢献できるような仕組みを作ったりとか
161720	163220	いろんな挑戦をしています
163660	167440	その中の一環でティーチャーティーチャーのコンコンも
168060	170300	運営するという形になっています
170760	172740	そこに今向かっています
174360	175920	なぜ唐津なのかというと
176580	178320	ティーチャーティーチャーで何度かお話ししていた
178320	179960	小野遥さんという方ですね
180500	182860	コンコンで先生と呼ばれていたりするけど
182860	184540	教育コーディネーターとして
185940	189640	日々子どもたちと向き合っているスタッフの方です
190340	191940	その方が唐津に住んでいてね
191940	192580	そうね
193220	194220	地元愛すごいよね
194780	195520	確かにね
195520	197620	お祭りとかが盛んやん
197620	198440	唐津で
199200	200980	そういうのもあるかもね
201740	202340	駅店だ
202340	205160	サンドラボからとさんなんですけども
205960	209200	小野遥さんが居場所を運営始めます
209840	212600	ティーチャーティーチャーが運営しているコンコンと同じように
213320	215160	誰もがいていい居場所であり
215160	219480	なおかつ社会的な自立を目指して学ぶところでもあるっていう
220520	222060	学びの居場所っていうような
222580	224320	そういった場所になっていくんですけど
225580	229060	そこを小野遥さんが新しく挑戦するということです
229600	231400	基本的にオーナーシップは小野遥さんに
232540	233800	小野遥さんが持っていて
234160	236280	それをティーチャーティーチャーとして一緒に
236280	238080	伴奏していくというような形になります
238800	239780	これよく言われるのがさ
240760	243600	小野遥さんティーチャーティーチャー卒業したんですねって
244300	245620	言われるんですけども
245620	247380	小野遥さんの表現の仕方も
247740	248980	コンコン飛び出してとか
250820	253360	皆さんにSNSで報告してたから
253360	256340	だから、なんかそういう勘違いをしている方もいますけど
256340	259020	そうなんです。飛び出しておりません。
262240	265780	コンコンには週4、子どもたちと向き合っていて
266400	268540	水曜日にデジタルテトックスデーがあるので
268540	272460	この水曜日にカラスの拠点を運営していこうということになっていて
272860	277440	そこは勘違いせず正しい認識を持ってもらえたら嬉しいなと思います。
277460	282400	アイランドシティでやっているのも各週の水曜日やっていて
283020	291120	そんな形で唐津もまずはスモールに居場所兼自立をならす場所として存在すると
291120	291460	そうですね
293900	296580	今日は小野遥さんに出演してもらいます今から
297360	301860	これから唐津でどんなことを展開していくのかという話もしたいと思っています
302440	306780	ティーチャーティーチャーはやっぱりティーチャーティーチャーだけで活動するというよりは
307220	309740	スタッフのみんながいろんな団体に所属しながら
310100	312820	いろんな見方考え方を手に入れて
313620	317660	自分でオーナーシップを持って活動を展開していくっていうのを推奨していて
318480	321320	だからいろんな団体でコラボしていきますし
321780	324760	スタッフの挑戦を全力で応援しますので
325400	328300	皆さんもぜひ応援してもらえたらと思っております
328300	331320	その居場所が鉄さんクラファンをやっているところなので
331320	333000	ぜひそちらも見てください
333000	335600	クラファンもティーチャーティーチャー全力で応援していますので
336100	337980	皆さんぜひ見ていただけたら嬉しいなと思っております
337980	346220	この話も今からまたそういう話も小野原ちゃんとしようと思うので聞いてください
347540	350720	多分小野原さんガチガチに緊張してると思いますので
351680	353860	想像しただけで緊張するとおっしゃっておりましたが
354520	357740	皆さん温かく聞いていただけますと幸いです
357740	359840	久美さんも来るからね
359840	362800	日々の運営している久美さんも来ますので
363300	365420	久美さんの話も聞いてもらえたら嬉しいし
366500	367940	日々の話も聞いてほしい
368380	368700	すごい
368700	372000	いろんなことが起きてるんで
372000	373720	またそれは話そう
374100	376660	とてつもない奇跡のような
376660	378460	出来事がたくさん起きておりますので
378460	379960	ぜひその話もしたいと思います
380580	380900	ということで
381460	382920	くたし君が今ぐるぐるぐるぐる
383940	385460	到着していけない雰囲気だから
386000	387160	到着できないような感じで
387160	389360	ぐるぐると車を運転しておりますが
389360	389580	ということで
391000	392280	じゃあ行ってきたいと思います
393400	394040	ブーン
398820	399540	やってきましたね
399540	399920	カラツの
401020	402160	サンドラボカラツに
403200	404500	やってまいりましたね
404500	405360	小野原さん
406560	406820	こんにちは
408200	409560	ようこそカラツに
410480	413100	今日はカラツの居場所に来させてもらって
414120	415120	ひとしとはるかと
416200	417100	いつもコンコンの
417480	418920	教育コーディネーターをしてくれている
418920	419800	小野原さん
420700	423180	日々とコンコンのソーシャルワーカーをしている
423180	423760	久美さん
423760	425000	来てもらってます
425000	425940	よろしくお願いします
428180	429980	来てもらってるというか
430580	431660	僕らが来た
431660	433220	お邪魔をしております
433800	435300	初めて4人で収録ね
435300	436880	本当ですよね
437840	439520	めっちゃ嬉しいです念願でした
440500	442300	テイチャーテイチャー初めてから出るの
442300	443480	そうなんですよ
443480	445440	2年半越し
446320	447100	に出ました
448280	449860	ちょっと簡単に言うと
449860	451960	テイチャーテイチャーを
452540	459820	そこから編集メンバーを募集した時に連絡をくれたよね
460400	464480	最初編集をやってた時があり
465700	470580	その後コンコンでここで働かせてくださいってなり
470580	472420	なんそれ千尋?千尋?
473280	475460	募集してなかったよね
475460	478040	ね 時にそうですよね
479160	484000	1回ずつ話していいですみたいな 連絡をくれスタッフとしてジョイン
484000	489080	しましょうってことになって今となっては 社員としてやってくれています
489080	493680	簡単になんかティーチャーティーチャーとか 香港でやってること聞いていい?はい香港
493680	498080	では 肩書きは教育コーディネーターって
498440	503800	肩書きなんですけどなんかやってることは 一番イメージしやすいのは他人の先生かな
503800	509260	なって思ってて でもなんかでも担任の先生じゃないん
509260	512300	です 運営してるけどメタバースのあの
512840	516200	コンコンの教室を運営してるけど やり続けているのは
516760	521040	子どもたちの学びの調整という かをやり続けてますね
521040	523940	日々試行錯誤してメタバース空間 をデザインして
524680	528400	子どもたちがここに行ったら目標 を立てられるんだとか
528400	531280	ここに行ったら相談できるんだ みたいな環境を作ったりとか
531800	534240	意思の目標を作って実行して振り返りをしたりとか
534240	536580	トラブルが起きた時には相談してもらって
537240	538920	相談する力があるねって言って
538920	541740	子供を励まして相談どんどんできるなと思うね
541740	542040	そうですね
544700	545660	本当すごいわ
546320	548400	毎日PDCA回してるね
548780	550640	この子がこういう状況でしたとかを
550640	553000	毎日相談し合ってる
553000	554220	実況中継してくれて
554960	556000	知り合ってるね
556000	556480	すごいわ
557220	561340	一緒に自分の運営してる教室ってよりかは
562500	566060	ティーチャーティーチャーのメンバーで一緒にやってるとか
566460	570820	ティーチャーティーチャー村のボランティアさんと一緒にやってるみたいな
570820	572880	運営にしていきたいなって思いがあって
572880	575760	いろんな人の力借りながらやってる感じですね
576180	577800	そうね、じゅんぼくさんにもいっぱい相談して
579200	581700	実はハルハル教育トークって
581700	582380	そうなんよ
582700	584700	ポッドキャストやってますよねあなたたち
585420	586860	はるかとはるかでやってませんでした
586860	587980	言っちゃって大丈夫?
588220	588780	大丈夫ですよ
588780	593760	小野原さんが日々教員としてどんな試行錯誤してるのかっていうのを
593760	597120	ティーチャーティーチャーのはるかと一緒に振り返るっていう番組をしてて
597600	602260	最初からさ番組始めましたとかすると緊張しちゃうから
602600	604440	2人でずっとやってて
604820	606920	ティーチャーティーチャー村の方々は知ってるって感じよね
606920	607280	そうですね
607920	608820	って番組してて
608820	612680	本当に等身大でいつも教員としての悩んだ時に
612680	613660	どうしたらいいのかとか
613660	616300	っていうのを話してるって感じなんで
616300	617800	これ聞いてもらっても大丈夫?
617980	620640	大丈夫これ結構聞かれる可能性がある
620640	622320	ティーチャーティーチャー話すと結構
622320	623400	方々が聞いてくれる
623400	626160	でもそのフェーズに来たと思って
626160	626800	そのフェーズに来た
627880	628660	力強い
628660	630220	ついにコンフォートゾーン抜け出すときから
630220	632340	結局大変ですなやっていきましょう
634080	636240	最近方針がストップしてたんで
637240	638440	また再開していきましょう
638440	638980	はい
638980	642300	で、くみさんも来てくれていて
642300	646800	いつもコンコンではソーシャルワークしてくれてますよね
646800	648100	ソーシャルワーク
648100	651180	どんなことをやってるかを簡単に
651180	651660	そうですね
652300	654140	何やってるかというと
654140	658560	基本的にはコンコンになるべく駐在して
659580	661420	小野原ちゃんと話しながら
662000	664580	この子どうアプローチしたらいいですかね
664580	666140	とかいうのを話しながら
666820	668360	あとは親御さんが
668840	672080	学校に相談に行こうと思ってるんですけど
672080	674280	どういう風に話したらいいですかね
674280	676500	みたいなお話とかをお聞きして
677500	680180	こういう風に作戦立てましょうとか
680180	681720	一緒に考えましょうとか
681720	683160	ということだったり
683620	685200	学校の先生とか
685200	688520	そのお子さんの地域の
688520	690600	学校のソーシャルワーカーさん
690600	692460	SSWさんとかと話して
693300	695440	そこで使える社会資源とかを
695440	696880	一緒に探してもらって
697760	698880	この前もやってましたね
698880	700740	学校の先生と
701220	702740	学校のソーシャルワーカーと
702740	703940	保護者と組さんで
704680	706380	ケース会議するみたいなことが起きてて
706800	708700	本当学校と連携しながら
709480	710860	子どもたちをサポートしていく
710860	712180	っていうような感じですね
712180	713020	本当さ
713860	717080	教員経験ない素人たちがやっとさ
717620	719460	マジで見えてなかったんですよ
719460	720580	そういう動きって
720580	722700	先生って勉強教えてくれる
723360	724680	人だったじゃないですか
724680	725180	当時
726000	727320	でも本当裏側でさ
727320	729960	この子のどういう特性があるかって理解するのにも
729960	731160	めっちゃ時間かかるし
731720	733520	親御さんとどうコミュニケーションを取るかも
733520	734480	作戦会議いるし
735140	738420	見えないところで相当動いてるんですよね
739160	739700	本当に
740360	741920	個別の支援計画っていう
741920	745080	子どもたちの特性をまず把握して
745080	747580	それに合ったどんな支援ができるだろうっていうのを
747580	748560	作成していて
749100	751600	保護者が困った時には面談していてってことを
752300	754040	普段2人はしてくれていて
