start	end	text
0	1680	キイチャキイチャ
7040	9700	はいそれでは始めていきたいと思います
9700	12580	村中直人さんに来ていただきました
13180	14140	はいありがとうございます
14140	15280	よろしくお願いします
17040	19180	じゃあ簡単に自己紹介とか
19180	22120	どういうことをやってきている方なのかっていうのを
22120	22860	いいでしょうか
23540	24500	はいありがとうございます
24500	27840	私村中直人と申しまして
28760	31200	ご紹介で一番わかりやすいのが資格ですね
31200	34100	臨床心理師と公認心理師を持ってまして
34520	39360	いわゆる心理師という職業になるのかなと思います
41080	43380	ですがやってることとしては
43380	47140	皆さんこの音声聞いていただいてる皆さんに
47140	49180	一番伝わりやすいのは
49180	52760	いろんなキーワードで発信活動をしていて
53160	55580	一つ大きいのはニューロダイバーシティ
56000	58060	脳の多様性ということをベースに
58560	61560	この社会についての考え方とか
61560	63700	対人関係とか支援とかっていうところの
63700	66060	発信活動をしています
67600	68940	もう一つはですね
70280	72120	シカル依存が止まらないという本を
72120	74680	2022年に出版をしまして
74680	77180	それが著者の予想をはるか超えて
77180	80280	いろんな方に読んでいただいたという経緯がありまして
81200	82780	なのでシカル依存というキーワードで
82780	85980	呼んでいただいていろいろ発信することも多いです
87820	89800	仕事は一体何やってるのかと思われると思うので
89800	92700	仕事は発達障害サポーターズスクールという
93520	94660	オンラインスクールですね
94660	97140	発達障害の支援者要請のオンラインスクールの
97880	99020	経営をしたりとか
99500	101940	あとは研修をしたりとか
101940	103360	職員研修をしたりとか
103920	107080	そういう仕事をしてたりとか
107440	109500	あとはニューロダイバーシティアットワークという
109500	113180	会社を2年も3年経つかな
113740	114720	前に立ち上げまして
114720	116780	そっちは企業さんとの
116780	119240	ネイルダイバーシティの推進のお仕事を
119240	120640	コンサルティングしたりとか
120980	122340	講演研修したりとか
122340	123860	っていうふうなことをしてたりとか
125300	126820	喋っていながら自分が何やってるし
126820	128460	何しながら全然わからんことになってきますけど
128460	129600	なんかいろいろやりながら
129600	131420	過ごしているという
131420	133140	そんなちょっと雑多な人間でございます
134720	135000	ありがとうございます
135280	136140	ティーチャーティーチャーでも
136500	138120	しかる依存が止まらないのを
138120	139760	話をさせていただいて
139760	140300	一度
142780	144160	すごい反響があって
144940	146040	それで結構
146040	147840	刺さったリスナーさんがいらっしゃって
148920	149840	その方が
149840	151660	インタビュアーもしていて
153040	154260	その方が村中さんに
154260	155280	インタビューをして今回
155280	156680	ご縁があったっていう
157400	158460	そういうことか
158460	158800	そうですね
160820	162460	取材のご依頼を
162460	163860	いただいてその時に
163860	166660	このティーチャーティーターさんのことを紹介していただいて
166660	168820	今回つないでいただいたというそういう動員ですね
169520	173440	前回の配信でニューロダイバーシティの話は
173860	175580	ある程度多分知っている状態で
175580	178500	ニューロユニバーサリティからニューロダイバーシティに
178500	180140	変わっていくんだっていう話とか
181000	184540	学び方は多様だよねって話をしているような状態です
185660	185940	なるほど
186420	189220	ちょっとさらにいろいろ理解を深めたいことがありまして
189220	190580	お呼びさせてもらいました
191300	192160	そうなんですよ
193080	195460	ラーニングダイバーシティの夜明けっていう本を
196080	197380	拝読いたしまして
198060	202640	そこでどんだけ学び方に
202640	204740	多様性を持たせることが大事かっていうのを
205440	207420	すごく僕の中でも痛感して
208040	211760	振り返ったら自分は学び方相当自由にしてこれたな
211760	213020	っていう過去があったりとか
213580	217560	または教員時代にその学び方が合わなくて
217560	219660	自信を失っている子たちたくさんいたなとか
219660	221240	っていうことがすごい想起されて
222040	223400	今日聞きたいのは
224760	227100	学び方ってどう学ぶんだっていう
228740	231160	どう身につけていくのって話を聞きたいのと
231700	233320	もう1個僕印象的だったのが
233320	236220	村中さんのお子さんの
236220	239400	学び方を身につけていく様子とか
240160	242180	学校に行っていないっていう
243000	246500	時の様子とかもこの本の中にあって
247120	250180	そこで困ってる保護者もたくさんいるので
250180	253820	その過程での様子とかもお伺いできればなというふうに
253820	255380	2つ思っているんですよね
256080	258800	その中で僕が勝手に前回
259120	261140	ラーニングダイバーシティの大事さみたいなことを
261140	261880	喋ったんですけど
262240	263700	改めて村中さんがなぜ
264680	266700	学校現場にこのラーニングダイバーシティが
266700	267980	必要なのかとか
268920	270680	ニューロダイバーシティ的な視点が必要なのか
270680	272960	みたいなのをお話し
272960	275880	まずお伺いできれば嬉しいなって思っています
276260	276540	ありがとうございます
277680	277960	そうですね
277960	291680	そうですね、なんかちょっと時系列に沿って順番にお話しすると、私が教育っていうものに携わるようになったのは、一番最初臨床心理師になりたっていうのは20年前ぐらいなんですけども、
291680	300760	スクールカウンセラーとか教育センターの教育相談員とかっていう仕事を非常勤で始めたんですね
300760	306780	そこが私の教育との関わりの出発点なんですけども
307320	315120	当時がちょうど発達障害っていう言葉が世の中に広まり始めたちょうど時期ですね
315120	318620	2005年に発達障害者支援法っていうのができて
318620	322240	2007年に特別支援教育が始まってるんですけど
322240	325860	特別支援教育って来年で丸20年になるんですね
325860	328660	その一番初期の時に私は心理師になって
